Date,Team,Player,Injury
1990-10-31,Kings, Anthony Bonner,  stress fracture in left foot
1990-11-10,Warriors, Mike Smrek,  bruised ribs
1990-11-13,Clippers, Danny Manning,knee
1990-11-16,Sonics, Dale Ellis,transferred from suspended list to IL
1990-11-16,Suns, Ian Lockhart,knee
1990-11-19,Rockets, Adrian Caldwell,  eye injury
1990-11-21,Cavaliers, John Williams / Hot Rod Williams,  sprained left foot
1990-11-28,Kings, Steve Colter,  surgery on leftankle
1990-12-06,Timberwolves, Bob Thornton,  fractured wrist
1990-12-18,Kings, Bobby Hansen,knee
1990-12-22,Nuggets, Orlando Woolridge, recovering from surgery on right eye to repair detached retina (date approximate)
1991-01-09,Sonics, Quintin Dailey,hamstring
1991-01-14,Kings, Wayman Tisdale,  torn tendon in right foot
1991-01-14,Rockets, Hakeem Olajuwon, recovering from surgery on right eye (date approximate)
1991-01-21,Hornets, Randolph Keys,  broken finger
1991-01-21,Hornets, Rex Chapman,ankle
1991-01-22,Pacers, Rik Smits,  bone chips in right elbow
1991-01-23,Nets, Sam Bowie,  bruised right shin
1991-01-25,Pistons, Isiah Thomas,  right wrist injury
1991-02-03,Spurs, Rod Strickland,  fractured right hand
1991-02-11,Nuggets, Todd Lichti,knee
1991-02-15,Heat, Jon Sundvold,  pneumonia and sinusitis
1991-02-26,Cavaliers, Derrick Chievous,back
1991-02-28,Kings, Ralph Sampson,  strained tendons in right forefoot
1991-03-04,Celtics, Dave Popson,  bone spur in left foot
1991-04-02,Rockets, Dave Feitl,ankle
1991-04-02,Spurs, Dwayne Schintzius,back
1991-04-18,Bullets, Charles Jones,  pulled left groin
1991-04-20,Cavaliers, Brad Daugherty,  broken left middle finger
1991-10-29,Blazers, Ennis Whatley,  brokenankle
1991-11-07,Bulls, Craig Hodges,knee
1991-11-17,Bulls, Bill Cartwright,  broken left hand
1992-01-02,Pistons, Bob McCann,  Achilles tendon injury (date approximate)
1992-01-29,Blazers, Lamont Strothers,  strained rotator cuff in right shoulder
1992-02-13,Kings, Dwayne Schintzius,  herniated disc in lowerback
1992-11-05,Celtics, Kenny Battle,  inflamed tendon between fourth and fifth fingers on left hand
1992-11-05,Celtics, Marcus Webb,  pulled left groin
1992-11-13,Kings, Anthony Webb / Spud Webb,  torn ligaments in left wrist
1992-11-18,Celtics, Ed Pinckney,knee
1992-12-02,Bulls, Corey Williams,  abdominal strain
1992-12-04,Blazers, Jerome Kersey,knee
1992-12-23,Hawks, Dominique Wilkins,  broken fourth finger on right hand
1992-12-30,Blazers, Clyde Drexler,knee
1993-01-08,Bulls, Scott Williams,knee
1993-01-12,Blazers, Delaney Rudd,knee
1993-01-18,Bulls, Rodney McCray,knee
1993-02-08,Clippers, Ken Norman,  chicken pox
1993-03-23,Blazers, Kevin Duckworth,knee
1993-03-26,Suns, Jerrod Mustaf,  bruised right thigh
