Player,height (cm),weight (kg)
Curly Armstrong,180,77
Cliff Barker,188,83
Leo Barnhorst,193,86
Ed Bartels,196,88
Ralph Beard,178,79
Gene Berce,180,79
Charlie Black,196,90
Nelson Bobb,183,77
Jake Bornheimer,196,90
Vince Boryla,196,95
Don Boven,193,95
Harry Boykoff,208,102
Joe Bradley,190,79
Bob Brannum,196,97
Carl Braun,196,81
Frankie Brian,185,81
Price Brookfield,193,83
Bob Brown,193,92
Jim Browne,208,106
Walt Budko,196,99
Jack Burmaster,190,86
Tommy Byrnes,190,79
Bill Calhoun,190,81
Don Carlson,183,77
Bob Carpenter,196,90
Jake Carter,193,88
Al Cervi*,180,77
John Chaney,190,83
Leroy Chollet,188,86
Bill Closs,196,88
Paul Cloyd,188,81
Jack Coleman,201,88
Bobby Cook,178,70
Ray Corley,183,81
Jack Cotton,201,90
Dillard Crocker,193,92
Chink Crossin,185,74
Fran Curran,183,79
Jimmy Darden,185,77
Bob Davies*,185,79
Hook Dillon,190,81
Earl Dodd,196,79
Joe Dolhon,183,79
Bob Doll,196,88
Harry Donovan,188,81
Andy Duncan,198,88
Dike Eddleman,190,85
Gene Englund,196,92
Bob Evans,188,79
Johnny Ezersky,190,79
Bob Feerick,190,86
George Feigenbaum,185,83
Arnie Ferrin,188,81
Jerry Fleishman,188,86
Joe Fulks*,196,86
Bill Gabor,180,77
Elmer Gainer,198,88
Harry Gallatin*,198,95
Vern Gardner,196,90
Frank Gates,183,72
Dee Gibson,180,79
Hoot Gibson,196,89
Chuck Gilmur,193,102
Normie Glick,201,86
Paul Gordon,190,83
Joe Graboski,201,88
Bud Grant,190,88
Don Grate,188,83
Alex Groza,201,98
Al Guokas,196,90
Robert Hahn,208,108
Chick Halbert,206,102
Bruce Hale,185,77
Dale Hamilton,183,81
Alex Hannum*,201,95
John Hargis,188,81
Bob Harris,201,88
Bob Harrison,201,88
Billy Hassett,180,81
Marshall Hawkins,190,92
Bill Henry,206,97
Bill Herman,190,77
Kleggie Hermsen,206,102
Sonny Hertzberg,178,79
Paul Hoffman,188,88
Joe Holland,193,83
Red Holzman*,178,79
Gene James,193,81
Howie Janotta,190,83
Tony Jaros,190,83
Buddy Jeannette*,180,79
Arnie Johnson,196,107
Ralph Johnson,180,77
Wah Wah,180,77
Noble Jorgensen,206,103
George Kaftan,190,86
Leo Katkaveck,183,83
Jack Kerris,198,97
Bob Kinney,198,97
Walt Kirk,190,78
Leo Klier,188,77
Duane Klueh,190,79
Lee Knorek,201,97
Milo Komenich,201,96
Leo Kubiak,180,72
Frank Kudelka,188,87
Walt Lautenbach,188,83
Tony Lavelli,190,83
Ed Leede,190,83
Andrew Levane,188,86
Freddie Lewis,188,88
Ron Livingstone,208,99
John Logan,188,79
Ray Lumpp,185,80
Ed Macauley*,203,83
Johnny Macknowski,183,81
John Mahnken,203,99
John Mandic,193,92
Slater Martin*,178,77
Ariel Maughan,193,86
Matt Mazza,190,95
Mike McCarron,180,81
Dick McGuire*,183,81
Bones McKinney,198,83
Mal McMullen,196,95
Dick Mehen,196,88
Ken Menke,183,76
Stan Miasek,196,95
Ed Mikan,203,104
George Mikan*,208,111
Vern Mikkelsen*,201,104
Al Miksis,201,95
Murray Mitchell,201,95
Leo Mogus,193,86
Max Morris,188,88
Joe Mullaney,183,74
Jerry Nagel,183,86
Jack Nichols,201,100
Richie Niemiera,185,74
Paul Noel,193,83
Jim Nolan,203,95
Johnny Norlander,190,81
George Nostrand,203,88
Mike Novak,206,99
Dermie O'Connell,183,78
Andy O'Donnell,185,81
Dick O'Keefe,188,83
John Oldham,190,79
Gene Ollrich,180,72
Johnny Orr,190,88
Don Otten,208,108
Mac Otten,201,99
Red Owens,190,83
Easy Parham,190,90
Jack Parkinson,183,78
Charlie Parsley,188,79
Stan Patrick,188,83
Johnny Payak,193,78
Warren Perkins,190,86
Ed Peterson,206,99
Jack Phelan,196,88
Andy Phillip*,188,88
Jim Pollard*,193,83
John Pritchard,206,99
Les Pugh,201,86
Don Putman,201,86
George Ratkovicz,198,99
Don Ray,196,86
Chick Reiser,180,74
Arnie Risen*,206,90
Tex Ritter,188,83
Bill Roberts,206,95
Red Rocha,206,83
Kenny Rollins,183,76
Bob Royer,178,70
Jerry Rullo,178,74
Ed Sadowski,196,108
Kenny Sailors,178,79
Pep Saul,188,83
